,e10.soil.depth,e12.rock.cover,t01alt,awc15,bio01,bio05,bio06,gdd,nfd,rh410,t14stot,species
141,13.0,5.0,1801.747741,26.96069131,15.01387682,158.7943801,-122.9011826,562.5295745,222.2611451,6267.12187,4894161.473,PC
142,15.0,5.0,1802.382031,26.99099295,14.84953724,158.6229249,-123.0554202,560.2032892,222.4535613,6267.956729,4779833.707,PC
143,10.0,5.0,1805.670113,27.45322838,15.20674883,159.0004421,-122.7184893,565.3065704,221.9207648,6269.590321,4815661.031,PC
144,12.0,5.0,1807.63266,27.60638837,15.64435342,159.4603343,-122.3066361,571.5339544,221.3291089,6269.750842,4647686.229,PC
145,15.0,5.0,1806.817299,27.74465616,15.89215223,159.7216489,-122.0730281,575.0637676,220.9747045,6270.450608,4536573.349,PC
146,15.0,5.0,1815.40441,27.82611032,16.60401473,160.4687658,-121.4035699,585.1949722,220.0322113,6270.057711,4065364.214,PC
147,13.0,5.0,1827.633649,27.85929614,16.67988395,160.5473087,-121.3330547,586.3625664,219.9506994,6269.698374,3755561.506,PC
148,13.0,5.0,1824.853632,27.75332453,16.9291711,160.8092183,-121.0982295,589.8254738,219.6170587,6269.363071,3818618.77,PC
149,17.0,5.0,1807.890853,27.44437975,15.5904205,159.402232,-122.3579767,570.7583417,221.4337218,6268.748953,4772199.716,PC
150,6.0,5.0,735.6002946,28.96742064,62.10029651,209.8183939,-74.53480049,1419.470797,158.0451451,6030.342712,4905269.719,PN
151,6.0,5.0,729.9925915,28.80572107,62.08864144,209.8062458,-74.54690781,1419.290055,158.0433402,6029.968851,4403760.491,PN
152,6.0,5.0,727.4711831,28.749819,62.20177796,209.9259688,-74.44245487,1421.627527,157.8727712,6029.444331,4357122.18,PN
153,15.0,5.0,726.1046429,28.69927482,62.23355282,209.959644,-74.41344523,1422.295355,157.8206994,6029.192551,4220551.438,PN
154,11.0,5.0,722.4762926,28.64303067,62.50842746,210.2504082,-74.15893065,1427.948341,157.4157804,6028.15408,4375038.834,PN
155,15.0,5.0,722.8418007,28.65089648,62.46725405,210.2068568,-74.19706478,1427.101633,157.4763511,6028.306214,4352051.615,PN
156,11.0,5.0,720.9403507,28.5713616,62.5557277,210.3005457,-74.11576674,1428.939971,157.3385367,6027.772115,4145310.704,PN
157,15.0,5.0,724.5058818,28.61060656,62.39027518,210.1255199,-74.26890912,1425.535685,157.5829233,6028.414866,4075437.39,PN
158,2.0,5.0,720.9929058,26.05335188,66.83143435,214.8207237,-70.147098,1517.24643,151.0466623,6014.880713,5096882.077,PN
159,11.0,5.0,716.6937924,25.93904511,67.00455961,215.0037684,-69.98678445,1520.857531,150.7833793,6014.242554,5065409.85,PN
160,6.0,5.0,703.3000553,26.41160115,66.79360514,214.7811104,-70.18433917,1516.509371,151.0800456,6014.306476,5095176.231,PN
161,15.0,5.0,682.8478155,27.23558076,66.46183773,214.4310097,-70.49522201,1509.651781,151.5484451,6014.340318,5032005.763,PN
162,15.0,5.0,677.10795,26.88108987,67.00030198,215.0003,-69.99613704,1520.839755,150.7400236,6012.498939,5068496.347,PN
